material_id,formation_energy_per_atom,pretty_formula
mp-1202411,-2.247718455,Fe2PHO3F2
mp-1197360,-1.478621819,Na2Mn3P2H2(C4O9)2
mp-1196989,-1.872860599,ZnP2(H4O5)2
mp-755258,-3.220567236,TmVO3
mp-8196,-0.737908982,AgNO3
mp-551135,-2.598967035,BaCuB2O5
mp-641415,-2.005549493,PbWO4
mp-1201858,-2.35133078,Cs2BiPWO8
mp-1194945,-2.615722409,Ba3V4CoO14
mp-1020717,-2.334151562,Zn2SiO4
mp-552454,-2.714625739,SrTaNO2
mp-12161,-1.286896353,K2SrCu(NO2)6
mp-19495,-2.839167197,NdCo(BO2)5
mp-1205271,-1.530805617,Na2CuP4H18N4O15
mp-1095679,-0.565980344,Cu2BrO3
mp-6700,-2.966548611,Mg3Cr2(SiO4)3
mp-1181025,-0.481951561,KAu(Br2O)2
mp-697946,-2.388738179,Cs2Zr2ZnH12(OF2)6
mp-680761,-2.265499976,Cd3(PO4)2
mp-1190753,-3.394479594,TiO2
mp-561048,-2.096163473,K3VSO3
mp-1202981,-0.686955345,FeC7(O2F)2
mp-743841,-1.660607613,MnPH6NO5
mp-705116,-2.686438907,Sr2MnMoO6
mp-766957,-1.925189931,FeBP2H5NO9
mp-22245,-1.931663109,BaYbCo4O7
mp-1105117,-1.988222883,Ni3Sb4(OF)6
mp-735485,-0.895796508,CoHRu3(CO)13
mp-850868,-1.77939638,NbH8N2O2F5
mp-553966,-1.228300571,Li(CuO)2
mp-12911,-2.78958036,Ba2LaRuO6
mp-18751,-1.994865642,Mn2ZnO4
mp-554760,-2.145645243,V4HgO10
mp-19296,-3.142331477,SrVSi2O7
mp-24597,-1.081486324,Cr2CdH14(NO2)4
mp-555092,-1.552509296,K3WS3ClO
mp-13840,-4.032000908,Ho3ScO6
mp-1188660,-2.824073518,Ba2LuIrO6
mp-23597,-2.61770372,Sr4Mn3(ClO4)2
mp-505442,-2.287798017,Mn3BO5
mp-24426,-1.124615798,HgH2SeO5
mp-722867,-2.749523635,Ca3Cu5Si9O26
mp-1188729,-1.697225662,V(PO3)2
mp-31909,-2.613291027,Ta2Mn3O8
mp-18941,-2.166714648,Co2SiO4
mp-11912,-2.63342558,NaNd2IrO6
mp-561230,-2.361304236,K2BiPWO8
mp-1201576,-1.562710882,ZnCu2PH7O9
mp-562107,-2.325257383,Mn2V2O7
mp-19031,-2.41549652,RbVO3
mp-7999,-3.673482095,Y2Si2O7
mp-27719,-2.662686648,Al2CuO4
mp-9406,-3.489571757,Li2La2Ti3O10
mp-13128,-1.358860883,Cu2As2O7
mp-28908,-2.450744563,Ba5(RuO5)2
mp-867516,-2.781640533,Ba2Tb2Mn4O11
mp-1087477,-2.561841202,La2TcNiO6
mp-23427,-2.555008149,Ti3(BiO3)4
mp-1198565,-1.425358482,CuPb5Se4(ClO3)4
mp-1191972,-1.196507422,CdH10S2(NO2)4
mp-556581,-2.241325899,Fe2PClO4
mp-8837,-2.528530593,Ba3Er2Cu2PtO10
mp-1198791,-1.749964865,Sb2Te3WC4(OF3)4
mp-1196035,-1.585629413,Na6Zn3As4O19
mp-21792,-1.563007703,Na5CoO4
mp-559739,-2.990574324,RbVOF3
mp-554837,-2.196134876,Ba3LiIr2O9
mp-24164,-1.207379883,CuH2(SeO3)2
mp-559736,-1.748785229,VAgO3
mp-23838,-1.945966655,Zn2PH2CO7
mp-622785,-0.451955509,FeSNO
mp-3593,-2.673782922,Ta2Sn2O7
mp-19207,-2.514249301,Sr2CoWO6
mp-1193478,-1.346893328,RbMnCl3O2
mp-21072,-2.290186309,Ba2Nd2Co4O11
mp-16381,-2.603672947,NaMn6P7O24
mp-19027,-1.338821604,Na5CoSO2
mp-552200,-2.946717514,Ba2TaBiO6
mp-18975,-2.545278726,Na2SrV4O12
mp-22773,-1.682324247,CuWO4
mp-27913,-1.413950937,CoHO2
mp-6342,-2.641589552,LiCa3RuO6
mp-6278,-1.641764068,Zn2Cu(AsO4)2
mp-1194914,-2.773239023,Ba7V6CoCl4O21
mp-600167,-1.180630364,CuH6(CO2)4
mp-510459,-1.935675352,MnVCuO4
mp-1204908,-2.057874557,KUVIO10
mp-4243,-2.112197646,CaIrO3
mp-1199406,-1.624181485,V5NiH20NO22
mp-1304797,-2.388011671,Sr3InNiO6
mp-17899,-2.289796115,Mn3V2O8
mp-24362,-0.958706642,CuH6CN2O3
mp-745012,-2.167698978,Ni2P2O7
mp-1079971,-2.604648959,Sr2ZnMoO6
mp-1198130,-0.994681327,Ni2As2O9
mp-1202669,-2.344374248,Li2CuB4(PbO5)2
mp-24599,-1.513527607,H8W3Se(NO6)2
mp-695887,-2.336520451,K3Cu2P4HO14
mp-20936,-2.153243074,Ba2PrCu3O7
mp-24708,-1.583177909,ZnH8SO8
mp-636827,-3.209800342,TiO2
mp-645717,-1.505011717,Co3TeO6
mp-1195412,-2.053099022,Ca2Co2O5
